"","x","y","clusters","names"
"1",-13.6027893779631,-1.65978781376085,"9","April"
"2",-13.6176698848935,-1.665160762384,"4","August"
"3",6.51005968888896,17.5502467186363,"6","Art"
"4",22.8428347684291,20.3904107070782,"7","A"
"5",43.3494679825462,-24.119536670873,"10","Air"
"6",-40.9074152884693,-23.6188340963947,"2","Autonomous communities of Spain"
"7",2.26368450424903,13.9029724598361,"6","Alan Turing"
"8",12.5533093835555,65.691548582803,"8","Alanis Morissette"
"9",45.0065488887641,20.9888150854655,"7","Adobe Illustrator"
"10",30.2056698850115,-26.2861626002477,"10","Andouille"
"11",23.48414285453,-29.4721534458925,"2","Farming"
"12",51.5344934482424,13.0581638979972,"7","Arithmetic"
"13",54.7663824989879,10.9494478548831,"7","Addition"
"14",-14.7572193489478,-17.7199086643019,"2","Australia"
"15",24.218394627068,15.8418799547277,"10","American English"
"16",25.2879461945837,-33.2331311578837,"5","Aquaculture"
"17",24.437392321606,11.4705416835641,"7","Abbreviation"
"18",-12.4722396630643,16.2800035010871,"1","Angel"
"19",16.0610258706791,11.3723836784162,"1","Ad hominem"
"20",-16.2695878085977,-14.7757375026245,"1","Native American"
"21",34.3979180876388,-35.0297280130997,"10","Apple"
"22",-10.7777468944711,11.1959431730994,"1","Abrahamic religion"
"23",51.596284855869,12.9733835670008,"7","Algebra"
"24",53.472284309671,-15.2833115577839,"10","Atom"
"25",0.91375120338867,18.494509002764,"7","Astronomy"
"26",-26.04632689725,3.60951170918827,"7","Architecture"
"27",28.7772859378112,-6.83728175518318,"5","Anatomy"
"28",71.5470212071356,-4.69509139312442,"7","Asteroid"
"29",-37.648256027103,-9.72190291853349,"4","Afghanistan"
"30",-27.9589029219966,-14.9405149905877,"2","Angola"
"31",-30.1446656564324,-17.1264245145217,"4","Argentina"
"32",-28.8014571511816,-5.32355865095362,"4","Austria"
"33",-37.3674835324965,-1.43744222228928,"4","Armenia"
"34",-48.6552395380465,-6.17535097489787,"1","Archaeology"
