x	y	clusters
0.13492160101	-21.6815760003	9
0.633568741096	-20.838488839	9
1.22980361604	-5.86550924696	0
-5.19904111609	-8.55228849193	1
-7.28374219898	17.8827144291	8
15.6361506228	-11.9517385285	2
1.39140711963	-10.4897382776	0
-17.3563280252	-6.8574842392	5
-18.1978383016	15.0274765968	3
-8.95544659956	2.09654316816	8
-10.4634571537	2.70536453008	8
-1.91256168528	-7.36368277331	1
-19.1106185899	12.53147701	3
-8.01377464563	-5.63259370016	1
1.59992367522	-2.78003482603	0
11.2421917616	3.68043380962	9
-21.1607016281	16.3118811727	3
3.94750579785	-1.45506668016	0
-8.89490174742	2.40999969252	8
-7.47445456894	20.8436372235	8
-0.399350264169	4.09140922436	0
-14.7825943304	6.79260035166	0
6.61599600805	19.0610881505	6
13.2865326253	-2.33068322212	9
15.1114264364	-3.44692707839	9
17.0654976472	-10.2511066027	2
19.6749714337	-9.16292248563	2
14.7934393119	-7.41785210561	2
-0.58940608965	-4.9029937397	0
-13.7661186713	-4.0471523637	5
-21.4501696979	8.36579951879	3
-3.26599291683	11.6241396837	8
-18.0559653127	14.9941423281	3
-14.1398009668	-4.45510297867	5
-12.7422646066	15.8557829987	3
8.92622061764	2.07811840697	9
-18.1634069366	15.2671028824	3
-17.3395087813	-4.08158463853	5
-19.8725213565	12.7837568522	3
-1.92264546067	-7.35984862496	1
-1.83392104037	-0.759295899903	0
12.5277995116	-6.23277655697	9
-19.6219265452	18.3543238636	3
-21.1737809277	15.399237023	3
-11.1396418363	16.7684292797	3
-25.6654661081	12.536581577	3
-25.2442785674	13.7190757691	3
-14.1554358521	6.33611123511	0
-14.5112496212	5.12107802632	0
18.7422476916	-7.44899065683	2
17.0854811091	-10.3087447789	2
-14.618088697	-4.3697867157	5
11.6512937499	-6.23570773446	9
16.4014112855	1.26522531526	7
-9.99214238236	22.1980866227	8
11.8627893147	-6.07220734986	9
10.7134236451	-0.519407943724	9
16.5207548702	-19.8372948968	4
0.0423916545848	6.14430228724	0
2.09867770237	-3.72237886694	0
-6.47647026684	6.34105314675	8
-17.834535841	15.0860054567	3
-2.03803284525	1.7412620965	0
5.14146290724	-2.34225154443	0
-1.67842966914	6.79301728112	0
21.2361659955	-2.26195523993	7
-18.5534843752	16.9608658769	3
-11.9862247713	-6.8637461761	5
-12.5043518425	17.6753361726	3
7.74871712053	4.25983827239	9
-4.35949561645	1.76885191904	0
-5.85953641955	5.97897143513	8
-20.1413959705	16.2062974345	3
3.02805102507	2.55307909734	0
-7.73360258189	3.14402607888	8
6.34224891251	8.07852583892	9
2.46306605175	4.25828032746	0
-8.98050539592	15.5662188285	3
3.59539301835	-14.3401093711	9
6.645020288	19.5013316182	6
4.65577533401	-2.33662929038	0
-19.1580734816	16.4690082886	3
10.4743951333	1.10144483425	9
-5.99739558684	12.7648382465	8
-7.16808154837	-6.50393752588	1
13.8933258252	-5.06351104697	9
0.574659970783	14.2919385128	8
0.0562643809664	-20.7422044285	9
16.5835381774	-16.1381644044	9
4.85872577296	-12.4749248404	9
5.52379324874	-2.2416480743	0
-6.23434071478	-5.9052471489	1
1.63314556638	-3.44390449496	0
-18.5931772516	8.97245293695	3
-4.62396327354	7.03510207454	8
-2.60227725341	13.6674362502	8
-2.29138479069	14.7002290454	8
-3.38816169791	-7.03105403615	1
-6.12656955837	2.25183340222	8
18.0089714144	-7.97037663212	2
1.72126877993	-0.513406446912	0
12.5108050944	-3.07034315439	9
5.6014600454	16.8805457374	6
-5.35254380609	-6.49051796512	1
-2.32507126322	4.31760597012	0
0.082198279737	1.449001652	0
-6.46586992278	-5.01910499069	1
-4.77508908291	-7.84604569432	1
6.42365334121	-0.690702754663	9
-1.67484355116	-11.0393781742	1
-18.6170622396	8.71431251684	3
-13.6136236173	6.2907621635	0
1.31349205179	2.46140527045	0
-8.96095224179	22.1206324695	8
13.9308104257	-1.77120809505	9
-10.2031056774	-3.81311586525	5
-11.3666106478	-7.75029767445	5
-7.43869475111	7.67947130294	8
-6.40191838295	6.43677935399	8
-7.09945406028	-4.14948685019	1
0.271929653726	-20.5795635896	9
-14.7188971216	-9.39492890876	5
4.08647334732	4.00737769079	0
-18.2648491519	13.6761696525	3
-19.7484851427	5.22329173487	3
-18.5010329025	15.9780397528	3
-21.3883889104	6.36887138419	3
-23.0221343295	10.714020302	3
18.7700316271	-10.9085373837	2
17.4299527442	-7.70513838662	2
-21.150009029	15.5667201709	3
-22.75185012	1.93680235442	3
-4.15795033656	-0.607429900917	0
-3.4913043279	-0.758225441555	0
-3.66306607178	-8.8373106379	1
21.6079412251	1.87113670641	7
-10.6385480308	-3.2239464556	5
-12.4825542524	18.9773367025	3
1.66705478818	-2.50427994725	0
-0.368284124066	-1.39051161925	0
-24.6540876795	14.3268333641	3
-4.35102913601	1.03294515595	0
-14.2267025552	-7.88696205955	5
1.14771481906	13.2634916472	8
9.72707149404	0.686879083241	9
3.2555072133	18.2056972104	6
-7.98528652946	3.70401480157	8
-8.35073727243	3.33078608741	8
-25.6867481536	12.6252141176	3
20.3353987589	3.8277118616	7
0.0263182451993	-5.5932119259	0
1.09549532635	0.383892992232	0
18.9909094276	7.75598042431	7
20.7124474851	5.62766247021	7
21.1748932271	5.49363241721	7
19.0540837099	5.54607974173	7
